complex,adjustment,param_value,time,ATP
Complex V,0.05,7.5465,2.10386454574727e-05,2.00272248584376e-05
Complex V,0.05,7.5465,2.10386459512657e-05,2.00272247937148e-05
Complex V,0.05,7.5465,2.10386460994036e-05,2.00272247289921e-05
Complex V,0.05,7.5465,2.10386462475415e-05,2.00272246642693e-05
Complex V,0.1,15.093,0,0
Complex V,0.1,15.093,9.88731394267737e-08,4.09220016753508e-07
Complex V,0.1,15.093,1.07771721975183e-07,8.17734400389018e-07
Complex V,0.1,15.093,1.16670304523593e-07,1.22552937104602e-06
Complex V,0.1,15.093,1.25568887072003e-07,1.80989172713821e-06
Complex V,0.1,15.093,1.3149690323794e-07,2.39278151967475e-06
Complex V,0.1,15.093,1.37424919403877e-07,2.9741927323517e-06
Complex V,0.1,15.093,1.4131184104122e-07,4.39356841667926e-06
Complex V,0.1,15.093,1.45198762678563e-07,5.80423953229341e-06
Complex V,0.1,15.093,1.49085684315906e-07,7.20614627387655e-06
Complex V,0.1,15.093,1.50743385006969e-07,2.05051813833545e-05
Complex V,0.1,15.093,1.52401085698032e-07,3.30225995084286e-05
Complex V,0.1,15.093,1.54058786389096e-07,4.47847062867691e-05
Complex V,0.1,15.093,1.55716487080159e-07,7.41688830917162e-05
Complex V,0.1,15.093,1.62714477828822e-07,9.88726444677757e-05
Complex V,0.1,15.093,1.69712468577485e-07,0.000119418366109313
Complex V,0.1,15.093,1.76710459326149e-07,0.000136366957500543
Complex V,0.1,15.093,1.99135547896264e-07,0.00016158479612425
Complex V,0.1,15.093,2.21560636466379e-07,0.000177609171608581
Complex V,0.1,15.093,2.43985725036494e-07,0.000187109889562643
Complex V,0.1,15.093,2.66410813606609e-07,0.000191949212868978
Complex V,0.1,15.093,3.12647403776984e-07,0.000193437846907332
Complex V,0.1,15.093,3.58883993947359e-07,0.000190620573933174
Complex V,0.1,15.093,4.05120584117734e-07,0.00018398839408036
Complex V,0.1,15.093,4.51357174288109e-07,0.00017555341879515
Complex V,0.1,15.093,4.97593764458484e-07,0.000166350715163345
Complex V,0.1,15.093,5.64618398960261e-07,0.000156945658298329
Complex V,0.1,15.093,6.31643033462038e-07,0.000142319592761918
Complex V,0.1,15.093,6.98667667963816e-07,0.000128761983121664
Complex V,0.1,15.093,7.65692302465593e-07,0.000116481802630459
Complex V,0.1,15.093,8.3271693696737e-07,0.000105424717709601
Complex V,0.1,15.093,9.02080602259131e-07,9.54896498952607e-05
Complex V,0.1,15.093,9.71444267550891e-07,8.39284716401322e-05
Complex V,0.1,15.093,1.04080793284265e-06,8.07811646951929e-05
Complex V,0.1,15.093,1.11017159813441e-06,7.77720873570322e-05
Complex V,0.1,15.093,1.17953526342617e-06,7.48951107461485e-05
Complex V,0.1,15.093,1.29275055143368e-06,7.21443600134718e-05
Complex V,0.1,15.093,1.40596583944119e-06,6.95143191559698e-05
Complex V,0.1,15.093,1.5191811274487e-06,6.21300661371265e-05
Complex V,0.1,15.093,1.63239641545621e-06,6.01059912470852e-05
Complex V,0.1,15.093,1.74561170346373e-06,5.8164099108998e-05
Complex V,0.1,15.093,1.99146385372603e-06,5.63011104714073e-05
Complex V,0.1,15.093,2.23731600398833e-06,5.45138029188425e-05
Complex V,0.1,15.093,2.48316815425064e-06,5.27990833997564e-05
Complex V,0.1,15.093,2.72902030451294e-06,4.54108181075132e-05
Complex V,0.1,15.093,2.97487245477525e-06,4.34680295681221e-05
Complex V,0.1,15.093,3.47955056656131e-06,4.29077054772903e-05
Complex V,0.1,15.093,3.98422867834737e-06,4.23574917551971e-05
Complex V,0.1,15.093,4.48890679013343e-06,4.18171842951748e-05
Complex V,0.1,15.093,4.99358490191949e-06,4.12865888859638e-05
Complex V,0.1,15.093,5.49826301370555e-06,4.07655274029255e-05
Complex V,0.1,15.093,6.82678126756533e-06,3.91714903820062e-05
Complex V,0.1,15.093,8.15529952142512e-06,3.91703622101994e-05
Complex V,0.1,15.093,9.48381777528491e-06,3.91692339875974e-05
Complex V,0.1,15.093,1.08123360291447e-05,3.91681057828708e-05
Complex V,0.1,15.093,1.21408542830045e-05,3.91669776205823e-05
Complex V,0.1,15.093,1.61119667558821e-05,3.91645736956426e-05
Complex V,0.1,15.093,1.73033004977454e-05,3.91621699876454e-05
Complex V,0.1,15.093,1.84946342396087e-05,3.9159766494999e-05
Complex V,0.1,15.093,1.9685967981472e-05,3.91479716345497e-05
Complex V,0.1,15.093,2.0043368104031e-05,3.91361818527737e-05
Complex V,0.1,15.093,2.040076822659e-05,3.91243972322826e-05
Complex V,0.1,15.093,2.06795158182553e-05,3.90301099276089e-05
Complex V,0.1,15.093,2.07631400957549e-05,3.89728334628176e-05
