complex,adjustment,param_value,time,ATP
Complex I,0.15,0.0553845,1.52401085698032e-07,2.05460857099091e-06
Complex I,0.15,0.0553845,1.54058786389096e-07,2.06693316319545e-06
Complex I,0.15,0.0553845,1.55716487080159e-07,2.0792570917369e-06
Complex I,0.15,0.0553845,1.62714477828822e-07,2.09158035697489e-06
Complex I,0.15,0.0553845,1.69712468577485e-07,2.10390295959318e-06
Complex I,0.15,0.0553845,1.76710459326149e-07,2.13461824279011e-06
Complex I,0.15,0.0553845,1.99135547896264e-07,2.16532941180103e-06
Complex I,0.15,0.0553845,2.21560636466379e-07,2.19603646713925e-06
Complex I,0.15,0.0553845,2.43985725036494e-07,2.22673940891704e-06
Complex I,0.15,0.0553845,2.66410813606609e-07,2.25743823748248e-06
Complex I,0.15,0.0553845,3.12647403776984e-07,2.3361706178137e-06
Complex I,0.15,0.0553845,3.58883993947359e-07,2.41487594286188e-06
Complex I,0.15,0.0553845,4.05120584117734e-07,2.49355422080668e-06
Complex I,0.15,0.0553845,4.51357174288109e-07,2.57220546002287e-06
Complex I,0.15,0.0553845,4.97593764458484e-07,2.7663407150646e-06
Complex I,0.15,0.0553845,5.64618398960261e-07,2.96031121498723e-06
Complex I,0.15,0.0553845,6.31643033462038e-07,3.15411708660505e-06
Complex I,0.15,0.0553845,6.98667667963816e-07,3.34775845616528e-06
Complex I,0.15,0.0553845,7.65692302465593e-07,3.54123544937154e-06
Complex I,0.15,0.0553845,8.3271693696737e-07,3.80834268207096e-06
Complex I,0.15,0.0553845,9.02080602259131e-07,4.07513655700839e-06
Complex I,0.15,0.0553845,9.71444267550891e-07,4.34161740489435e-06
Complex I,0.15,0.0553845,1.04080793284265e-06,4.60778555611395e-06
Complex I,0.15,0.0553845,1.11017159813441e-06,4.87364134070428e-06
Complex I,0.15,0.0553845,1.17953526342617e-06,5.3539059745919e-06
Complex I,0.15,0.0553845,1.29275055143368e-06,5.83315089508551e-06
Complex I,0.15,0.0553845,1.40596583944119e-06,6.31137804903119e-06
Complex I,0.15,0.0553845,1.5191811274487e-06,6.78858937946637e-06
Complex I,0.15,0.0553845,1.63239641545621e-06,7.26478682572302e-06
Complex I,0.15,0.0553845,1.74561170346373e-06,8.03296934286219e-06
Complex I,0.15,0.0553845,1.99146385372603e-06,8.79851195037894e-06
Complex I,0.15,0.0553845,2.23731600398833e-06,9.5614227981711e-06
Complex I,0.15,0.0553845,2.48316815425064e-06,1.03217100104288e-05
Complex I,0.15,0.0553845,2.72902030451294e-06,1.1079381686337e-05
Complex I,0.15,0.0553845,2.97487245477525e-06,1.29136752941964e-05
Complex I,0.15,0.0553845,3.47955056656131e-06,1.47326203379387e-05
Complex I,0.15,0.0553845,3.98422867834737e-06,1.65363320223838e-05
Complex I,0.15,0.0553845,4.48890679013343e-06,1.83249246628081e-05
Complex I,0.15,0.0553845,4.99358490191949e-06,2.00985117124568e-05
Complex I,0.15,0.0553845,5.49826301370555e-06,2.49702902388705e-05
Complex I,0.15,0.0553845,6.82678126756533e-06,2.97284594081592e-05
Complex I,0.15,0.0553845,8.15529952142512e-06,3.43753869943104e-05
Complex I,0.15,0.0553845,9.48381777528491e-06,3.89133899882027e-05
Complex I,0.15,0.0553845,1.08123360291447e-05,4.33447367826432e-05
Complex I,0.15,0.0553845,1.21408542830045e-05,4.56207999482367e-05
Complex I,0.15,0.0553845,1.61119667558821e-05,4.78686055835073e-05
Complex I,0.15,0.0553845,1.73033004977454e-05,5.00884631466815e-05
Complex I,0.15,0.0553845,1.84946342396087e-05,5.22806793306803e-05
Complex I,0.15,0.0553845,1.9685967981472e-05,5.44455573752178e-05
Complex I,0.15,0.0553845,2.0043368104031e-05,7.02783516786386e-05
Complex I,0.15,0.0553845,2.040076822659e-05,8.46343398461501e-05
Complex I,0.15,0.0553845,2.06795158182553e-05,9.76282585910566e-05
Complex I,0.15,0.0553845,2.07631400957549e-05,0.000109371568916414
Complex I,0.15,0.0553845,2.08467643732544e-05,0.000124973284995911
Complex I,0.15,0.0553845,2.0930388650754e-05,0.000134653828115646
Complex I,0.15,0.0553845,2.09554759340039e-05,0.000137346503030746
Complex I,0.15,0.0553845,2.09805632172538e-05,0.000139946111587602
Complex I,0.15,0.0553845,2.10056505005037e-05,0.000142455229589351
Complex I,0.15,0.0553845,2.10131766854786e-05,0.000144876395066108
Complex I,0.15,0.0553845,2.10207028704536e-05,0.000145585966943829
Complex I,0.15,0.0553845,2.10282290554286e-05,0.000146287906816294
Complex I,0.15,0.0553845,2.1030486910921e-05,0.000146982277626393
Complex I,0.15,0.0553845,2.10327447664135e-05,0.000147499226003268
Complex I,0.15,0.0553845,2.1035002621906e-05,0.000147653487725842
Complex I,0.15,0.0553845,2.10356799785538e-05,0.000147807370969948
Complex I,0.15,0.0553845,2.10363573352015e-05,0.000147960876444133
Complex I,0.15,0.0553845,2.10370346918493e-05,0.000148006854527322
Complex I,0.15,0.0553845,2.1037712048497e-05,0.000148052798694428
Complex I,0.15,0.0553845,2.10379152554913e-05,0.0001480987089647
Complex I,0.15,0.0553845,2.10381184624857e-05,0.000148112475438773
Complex I,0.15,0.0553845,2.103832166948e-05,0.000148126238864375
Complex I,0.15,0.0553845,2.10383826315783e-05,0.000148139999242024
Complex I,0.15,0.0553845,2.10384435936766e-05,0.000148144126761046
Complex I,0.15,0.0553845,2.10385045557749e-05,0.000148148254005812
Complex I,0.15,0.0553845,2.10385655178732e-05,0.000148152380976337
Complex I,0.15,0.0553845,2.10385838065027e-05,0.00014815361901402
Complex I,0.15,0.0553845,2.10386020951322e-05,0.000148153990420512
Complex I,0.15,0.0553845,2.10386203837616e-05,0.000148154361824783
Complex I,0.15,0.0553845,2.10386258703505e-05,0.000148154733226833
Complex I,0.15,0.0553845,2.10386313569393e-05,0.000148155104626662
Complex I,0.15,0.0553845,2.10386368435282e-05,0.000148155216046177
Complex I,0.15,0.0553845,2.1038642330117e-05,0.000148155327465493
Complex I,0.15,0.0553845,2.10386439760937e-05,0.000148155360891248
Complex I,0.15,0.0553845,2.10386444698867e-05,0.000148155394316986
Complex I,0.15,0.0553845,2.10386449636797e-05,0.000148155427742706
Complex I,0.15,0.0553845,2.10386454574727e-05,0.000148155461168407
Complex I,0.15,0.0553845,2.10386459512657e-05,0.000148155471196114
Complex I,0.15,0.0553845,2.10386460994036e-05,0.00014815548122382
Complex I,0.15,0.0553845,2.10386462475415e-05,0.000148155491251524
Complex I,0.2,0.073846,0,0
Complex I,0.2,0.073846,9.88731394267737e-08,1.3593344159552e-06
Complex I,0.2,0.073846,1.07771721975183e-07,1.4815246244416e-06
Complex I,0.2,0.073846,1.16670304523593e-07,1.60363669135922e-06
